Rank,Movie,Lifetime Gross,Year
431,Ocean's Eight (2018),140218711,2018
432,Rush Hour 3 (2007),140125968,2007
433,Look Who's Talking (1989),140088813,1989
434,Stuart Little (1999),140035367,1999
435,Taken 2 (2012),139854287,2012
436,Sister Act (1992),139605150,1992
437,The Matrix Revolutions (2003),139313948,2003
438,The Santa Clause 2 (2002),139236327,2002
439,The King's Speech (2010),138797449,2010
440,Cheaper by the Dozen (2003),138614544,2003
441,Bad Boys II (2003),138608444,2003
442,Platoon (1986),138530565,1986
443,21 Jump Street (2012),138447667,2012
444,Good Will Hunting (1997),138433435,1997
445,Split (2017),138291365,2017
446,A Christmas Carol (2009),137855863,2009
447,Dinosaur (2000),137748063,2000
448,Ready Player One (2018),137690172,2018
449,The Conjuring (2013),137400141,2013
450,Click (2006),137355633,2006
451,The Green Mile (1999),136801374,1999
452,Ransom (1996),136492681,1996
453,Godzilla (1998),136314294,1998
454,101 Dalmatians (1996),136189294,1996
455,Argo (2012),136025503,2012
456,Anger Management (2003),135645823,2003
457,Chicken Little (2005),135386665,2005
458,Teenage Mutant Ninja Turtles (1990),135265915,1990
459,Close Encounters of the Third Kind (1977),135189114,1977
460,Patch Adams (1998),135026902,1998
461,The Godfather (1972),134966411,1972
462,Ride Along (2014),134938200,2014
463,The Incredible Hulk (2008),134806913,2008
464,Live Free or Die Hard (2007),134529403,2007
465,Wanted (2008),134508551,2008
466,Identity Thief (2013),134506920,2013
467,Superman (1978),134451603,1978
468,The Rock (1996),134069511,1996
469,Mission: Impossible III (2006),134029801,2006
470,Grown Ups 2 (2013),133668525,2013
471,Troy (2004),133378256,2004
472,Angels & Demons (2009),133375846,2009
473,Alvin and the Chipmunks: Chipwrecked (2011),133110742,2011
474,Bringing Down the House (2003),132716677,2003
475,The Wolverine (2013),132556852,2013
476,Wonder (2017),132422809,2017
477,The Departed (2006),132384315,2006
478,Hulk (2003),132177234,2003
479,Silver Linings Playbook (2012),132092958,2012
480,Minority Report (2002),132072926,2002
481,Fantastic 4: Rise of the Silver Surfer (2007),131921738,2007
482,The Last Airbender (2010),131772187,2010
483,Rio 2 (2014),131538435,2014
484,Lara Croft: Tomb Raider (2001),131168070,2001
485,The Silence of the Lambs (1991),130742922,1991
486,Honey I Shrunk the Kids (1989),130724172,1989
487,The Flintstones (1994),130531208,1994
488,Lethal Weapon 4 (1998),130444603,1998
489,Get Smart (2008),130319208,2008
490,The Divergent Series: Insurgent (2015),130179072,2015
491,The Peanuts Movie (2015),130178411,2015
492,Transformers: The Last Knight (2017),130168683,2017
493,American Gangster (2007),130164645,2007
494,American Beauty (1999),130096601,1999
495,An Officer and a Gentleman (1982),129795554,1982
496,The Ring (2002),129128133,2002
497,Ghostbusters: Afterlife (2021),129126645,2021
498,The Nutty Professor (1996),128814019,1996
499,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),128505958,2006
500,Ghostbusters (2016),128350574,2016
501,Kingsman: The Secret Service (2015),128261724,2015
502,Robots (2005),128200012,2005
503,Coming to America (1988),128152301,1988
504,Crouching Tiger Hidden Dragon (2000),128078872,2000
505,Shutter Island (2010),128012934,2010
506,Into the Woods (2014),128002372,2014
507,Rocky IV (1985),127873716,1985
508,Enchanted (2007),127807262,2007
509,The Curious Case of Benjamin Button (2008),127509326,2008
510,Central Intelligence (2016),127440871,2016
511,Anchorman 2: The Legend Continues (2013),127352707,2013
512,Sweet Home Alabama (2002),127223418,2002
513,Bumblebee (2018),127195589,2018
514,Dumb and Dumber (1994),127175374,1994
515,2 Fast 2 Furious (2003),127154901,2003
