Rank,Name,Industry,Sector,Headquarters,Revenue,% Change,Profit,Asset,Market Value,Employees
473,Cintas,Diversified Outsourcing Services,Business Services,"Cincinnati, OH",$7.86,10%,$1.24,$8.15,$47.04,43000
474,NCR,"Computers, Office Equipment",Technology,"Atlanta, GA",$7.84,10%,$0.06,$11.51,$3.30,35000
475,ABM Industries,Diversified Outsourcing Services,Business Services,"New York, NY",$7.81,(No previous year),$0.23,$4.87,$2.97,127000
476,Rockwell Automation,"Electronics, Electrical Equipment",Industrials,"Milwaukee, WI",$7.76,11%,$0.93,$10.76,$33.68,26000
477,Northern Trust,Commercial Banks,Financials,"Chicago, IL",$7.75,19%,$1.34,$155.04,$18.31,23600
478,XPO,Transportation and Logistics,Transportation,"Greenwich, CT",$7.72,-40%,$0.67,$6.27,$3.68,39500
479,Science Applications International,Information Technology Services,Technology,"Reston, VA",$7.70,4%,$0.30,$5.54,$5.87,25000
480,Ameren,Utilities: Gas and Electric,Energy,"St. Louis, MO",$7.66,20%,$1.07,$37.90,$22.68,9244
481,First American Financial,Insurance: Property and Casualty (Stock),Financials,"Santa Ana, CA",$7.60,-18%,$0.26,$14.96,$5.75,21153
482,Bath & Body Works,Specialty Retailers: Other,Retailing,"Columbus, OH",$7.56,-4%,$0.80,$5.49,$8.37,33000
483,Regions Financial,Commercial Banks,Financials,"Birmingham, AL",$7.53,14%,$2.24,$155.22,$17.35,20073
484,Activision Blizzard,Entertainment,Media,"Santa Monica, CA",$7.53,-14%,$1.51,$27.38,$67.13,13000
485,Avantor,"Scientific, Photographic and Control Equipment",Technology,"Radnor, PA",$7.51,2%,$0.69,$13.46,$14.27,14500
486,Genworth Financial,"Insurance: Life, Health (Stock)",Financials,"Richmond, VA",$7.51,-5%,$0.61,$86.44,$2.48,2500
487,EQT,Energy,Energy,"Pittsburgh, PA",$7.50,(No previous year),$1.77,$22.67,$11.50,744
488,Skechers U.S.A.,Apparel,Apparel,"Manhattan Beach, CA",$7.44,(No previous year),$0.37,$6.89,$7.38,11450
489,Landstar System,"Trucking, Truck Leasing",Transportation,"Jacksonville, FL",$7.44,14%,$0.43,$1.93,$6.46,1449
490,Knight-Swift Transportation Holdings,"Trucking, Truck Leasing",Transportation,"Phoenix, AZ",$7.43,(No previous year),$0.77,$10.95,$9.11,28300
491,SVB Financial Group,Commercial Banks,Financials,"Santa Clara, CA",$7.40,(No previous year),$1.67,$211.79,$0.05,8553
492,Par Pacific Holdings,Petroleum Refining,Energy,"Houston, TX",$7.32,(No previous year),$0.36,$3.28,$1.77,1397
493,Albemarle,Chemicals,Chemicals,"Charlotte, NC",$7.32,(No previous year),$2.69,$15.46,$25.93,7400
494,Vulcan Materials,"Building Materials, Glass",Materials,"Birmingham, AL",$7.32,(No previous year),$0.58,$14.24,$22.83,11974
495,Watsco,Wholesalers: Diversified,Wholesalers,"Miami, FL",$7.27,(No previous year),$0.60,$3.49,$12.35,7238
496,KKR,Securities,Financials,"New York, NY",$7.27,-72%,$0.84,$277.08,$45.22,4150
497,Equinix,Real Estate,Financials,"Redwood City, CA",$7.26,9%,$0.70,$30.31,$66.87,12097
498,Sonoco Products,"Packaging, Containers",Materials,"Hartsville, SC",$7.25,(No previous year),$0.47,$7.05,$5.98,22000
499,ServiceNow,Computer Software,Technology,"Santa Clara, CA",$7.24,(No previous year),$0.32,$13.30,$94.34,20433
500,Robert Half International,Temporary Help,Business Services,"Menlo Park, CA",$7.24,12%,$0.66,$2.96,$8.68,16300
